player_name,Position,Team Name,Buts (sans les pénaltys),npxG: xG sans les pénaltys,Total des tirs,Passes décisives,xAG: Prévu(s) Buts assistés,npxG + xAG,Actions menant à un tir,Passes tentées,% de passes réussies,Passes progressives,Possessions progressives,Dribbles réussis,Touches (SurfRépOff),Passes progressives reçues,Tacles,Interceptions,Balles contrées,Dégagements,Duel aérien gagnés,Age,Categorie_Clustering,Categorie_Large,Categorie_Age
Ibrahim Sulemana,DM,Atalanta,0.19,0.06,0.84,0.0,0.0,0.06,1.5,30.09,80.7,2.06,0.94,0.47,0.38,0.94,2.81,0.38,1.13,1.5,1.22,21.0,Milieux Défensifs,Milieux,Jeune (< 23 ans)
Sepp van den Berg,CB,Brentford,0.1,0.1,0.93,0.0,0.01,0.11,0.8,45.83,81.9,3.02,0.23,0.1,1.33,0.4,1.13,1.16,2.12,5.08,5.11,22.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Kevin Schade,LW,Brentford,0.2,0.28,1.8,0.2,0.08,0.38,2.2,20.2,53.5,0.8,3.2,0.8,4.4,6.4,2.4,0.0,0.6,0.8,3.4,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Fabio Carvalho,AM,Brentford,0.42,0.18,1.78,0.1,0.15,0.33,3.51,40.2,79.5,4.35,1.99,0.73,3.56,5.29,1.42,0.68,1.62,0.26,0.42,22.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Yehor Yarmoliuk,AM,Brentford,0.0,0.12,1.46,0.0,0.01,0.13,2.24,42.64,75.5,4.38,1.57,2.13,2.24,4.38,2.02,1.01,2.24,0.79,1.12,20.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Mohamed Ali Cho,RW,Nice,0.19,0.14,1.8,0.12,0.17,0.32,3.22,26.49,71.0,2.29,4.33,1.18,3.59,7.8,0.93,0.25,0.87,0.56,0.56,20.0,Ailiers,Attaquants,Jeune (< 23 ans)
Antoine Mendy,RB,Nice,0.0,0.06,0.51,0.0,0.05,0.12,1.15,51.08,83.2,2.3,0.64,1.02,0.64,1.15,2.18,1.28,0.9,3.2,1.79,20.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Badredine Bouanani,RW,Nice,0.1,0.23,2.97,0.0,0.16,0.39,4.31,34.85,78.8,4.69,4.79,1.24,3.54,7.18,0.67,0.67,1.34,0.38,0.0,19.0,Ailiers,Attaquants,Jeune (< 23 ans)
Youssoufa Moukoko,CF,Nice,0.73,0.64,2.09,0.21,0.15,0.78,1.77,18.48,81.4,1.98,1.67,1.46,3.86,4.91,0.84,0.42,0.42,0.63,0.84,19.0,Attaquants,Attaquants,Jeune (< 23 ans)
Tom Louchet,RM,Nice,0.15,0.17,0.6,0.15,0.12,0.27,2.55,52.59,75.4,2.7,1.05,0.15,1.95,7.66,2.25,0.45,1.05,1.5,0.75,21.0,Ailiers,Attaquants,Jeune (< 23 ans)
Armindo Sieb,SS,Mainz 05,0.53,0.29,3.02,0.0,0.1,0.38,2.44,24.25,65.8,2.06,2.16,1.39,5.99,7.62,0.62,0.19,1.15,0.19,1.29,21.0,Attaquants,Attaquants,Jeune (< 23 ans)
Paul Nebel,AM,Mainz 05,0.22,0.19,1.54,0.31,0.27,0.46,4.04,45.26,76.0,4.13,2.42,0.92,2.2,6.15,1.71,0.84,1.27,0.92,0.57,22.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Keke Maximilian Topp,CF,Werder Bremen,0.44,0.24,2.63,0.18,0.12,0.36,3.68,18.68,59.2,2.02,1.49,1.32,5.35,6.49,0.88,0.18,0.53,0.26,1.4,20.0,Attaquants,Attaquants,Jeune (< 23 ans)
Skelly Alvero,CM,Werder Bremen,0.34,0.12,2.24,0.0,0.02,0.14,2.07,40.34,80.3,5.17,0.52,1.03,2.07,3.1,2.76,0.86,1.9,1.9,2.24,22.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Reda Belahyane,DM,Hellas Verona,0.0,0.01,0.37,0.12,0.05,0.06,2.1,39.37,84.9,5.08,0.99,1.73,0.5,0.5,1.86,0.5,0.74,0.74,0.12,20.0,Milieux Défensifs,Milieux,Jeune (< 23 ans)
Diego Coppola,CB,Hellas Verona,0.09,0.06,0.55,0.0,0.01,0.06,0.37,39.95,79.1,2.26,0.09,0.0,0.97,0.0,1.66,1.71,1.48,4.34,4.06,20.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Tomáš Suslov,AM,Hellas Verona,0.08,0.11,2.06,0.21,0.16,0.26,3.0,24.27,71.7,2.8,1.97,1.65,1.48,3.17,2.1,0.33,0.99,0.33,0.21,22.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Daniele Ghilardi,CB,Hellas Verona,0.07,0.06,0.51,0.0,0.01,0.07,0.76,54.04,84.4,2.35,0.54,0.04,0.98,0.22,1.34,1.05,0.8,4.05,2.31,21.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Yllan Okou,CB,Hellas Verona,0.09,0.03,0.54,0.0,0.01,0.04,0.54,50.92,80.6,3.08,0.49,0.22,0.54,0.22,0.67,1.56,0.54,4.34,1.52,21.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Stefan Mitrović,LW,Hellas Verona,0.0,0.1,1.98,0.0,0.02,0.12,1.98,25.12,74.0,3.56,3.16,1.38,2.37,5.34,1.19,0.2,1.19,0.79,0.79,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Kiké,CB,Alavés,0.2,0.41,3.33,0.13,0.09,0.5,2.33,18.57,68.8,2.46,0.67,0.87,6.06,5.39,0.6,0.07,0.53,0.8,3.06,22.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Santiago Mouriño,CB,Alavés,0.05,0.04,0.79,0.0,0.01,0.05,1.11,45.56,74.8,3.98,2.31,0.69,0.88,0.6,2.82,1.25,1.02,3.52,3.01,22.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Hugo Novoa,RB,Alavés,0.0,0.1,0.97,0.24,0.11,0.21,2.29,29.56,69.8,2.41,3.74,2.05,3.26,7.48,2.17,0.24,2.17,0.97,0.72,21.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Luka Romero,RW,Alavés,0.41,0.19,1.37,0.0,0.01,0.2,2.19,27.86,88.2,2.32,2.32,1.23,1.37,4.37,1.23,0.27,2.05,0.27,0.68,19.0,Ailiers,Attaquants,Jeune (< 23 ans)
Joaquín Panichelli,CF,Alavés,0.29,0.26,3.51,0.0,0.06,0.34,3.37,24.73,58.0,3.66,1.17,1.02,5.27,5.85,0.88,0.73,0.29,0.59,5.41,22.0,Attaquants,Attaquants,Jeune (< 23 ans)
Jakub Kamiński,LW,Wolfsburg,0.0,0.06,1.17,0.29,0.21,0.27,2.43,36.68,77.2,2.53,1.75,0.19,2.82,6.23,2.24,0.78,1.26,1.07,0.68,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Konstantinos Koulierakis,CB,Wolfsburg,0.14,0.13,0.86,0.14,0.16,0.29,0.86,64.29,82.4,5.29,0.29,0.57,1.0,0.43,1.14,0.43,1.29,4.0,0.71,20.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Aster Vranckx,CM,Wolfsburg,0.0,0.01,0.3,0.0,0.02,0.04,1.05,43.19,85.7,3.69,0.38,1.13,0.6,0.45,2.33,0.98,1.35,2.48,1.28,22.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Pietro Comuzzo,CB,Fiorentina,0.0,0.0,0.17,0.0,0.0,0.0,0.33,61.83,85.7,3.33,0.5,0.0,0.5,0.33,2.17,0.67,1.33,2.5,4.0,19.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Amir Richardson,CM,Fiorentina,0.14,0.1,1.14,0.0,0.05,0.15,2.07,44.93,82.6,4.94,1.72,0.86,1.5,2.65,2.65,0.72,1.36,1.72,1.0,22.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Michael Kayode,RB,Fiorentina,0.05,0.03,0.41,0.05,0.05,0.08,1.42,54.9,81.4,3.44,1.92,0.96,0.96,4.51,2.33,0.81,1.06,1.92,0.66,20.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Alessandro Bianco,CM,Fiorentina,0.08,0.04,1.16,0.0,0.06,0.1,3.07,60.69,83.0,6.78,2.23,1.44,0.48,1.44,1.48,1.08,1.4,1.04,0.44,22.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Matias Moreno,CB,Fiorentina,0.0,0.03,0.6,0.0,0.01,0.04,1.64,56.87,82.7,4.33,0.6,0.6,0.6,0.0,2.09,1.64,1.79,2.69,1.64,21.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Santiago Castro,CF,Bologna,0.42,0.29,3.15,0.21,0.13,0.42,2.1,17.87,77.6,1.16,0.53,0.95,4.0,5.99,0.74,0.21,0.53,1.05,1.79,20.0,Attaquants,Attaquants,Jeune (< 23 ans)
Giovanni Fabbian,AM,Bologna,0.32,0.29,2.28,0.13,0.13,0.42,1.71,22.36,78.2,1.33,1.08,0.76,3.8,3.1,1.39,0.57,0.38,0.76,1.27,21.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Kacper Urbanski,CM,Bologna,0.08,0.11,1.67,0.08,0.1,0.21,3.42,39.63,80.9,3.42,2.39,1.91,2.55,7.48,1.75,0.4,1.59,1.43,1.99,20.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Samuel Iling-Junior,LW,Bologna,0.21,0.08,1.48,0.11,0.15,0.23,3.81,50.93,75.9,3.39,3.49,1.06,2.96,9.21,2.22,0.74,1.59,2.01,0.74,21.0,Ailiers,Attaquants,Jeune (< 23 ans)
Benjamín Domínguez,LW,Bologna,0.09,0.12,2.63,0.09,0.18,0.29,3.47,24.84,68.7,1.97,3.0,2.06,4.41,10.22,0.94,0.38,0.94,0.19,0.56,21.0,Ailiers,Attaquants,Jeune (< 23 ans)
Kobbie Mainoo,CM,Manchester Utd,0.11,0.04,0.53,0.04,0.05,0.08,1.73,41.84,86.8,3.18,1.13,1.66,1.45,1.8,2.29,1.27,0.92,1.23,0.85,19.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Alejandro Garnacho,LW,Manchester Utd,0.26,0.32,3.41,0.14,0.16,0.48,3.7,30.23,76.1,1.91,5.73,1.5,7.98,9.84,0.93,0.69,0.93,0.61,0.14,20.0,Ailiers,Attaquants,Jeune (< 23 ans)
Amad Diallo,RW,Manchester Utd,0.21,0.1,1.87,0.21,0.26,0.36,4.89,43.91,86.0,3.23,4.27,1.46,6.24,10.92,2.71,0.31,0.52,0.83,0.52,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Rasmus Højlund,CF,Manchester Utd,0.51,0.37,1.49,0.08,0.07,0.43,2.28,15.67,74.4,1.22,1.37,0.63,3.61,4.24,0.39,0.04,0.55,0.59,1.14,21.0,Attaquants,Attaquants,Jeune (< 23 ans)
Malick Fofana,LW,Lyon,0.56,0.29,1.59,0.19,0.13,0.41,3.08,31.28,77.3,2.05,5.7,1.59,4.67,9.24,0.93,0.65,0.28,1.21,0.09,19.0,Ailiers,Attaquants,Jeune (< 23 ans)
Gift Orban,CF,Lyon,0.41,0.31,1.64,0.0,0.0,0.31,1.36,18.55,69.9,1.09,1.23,0.95,4.77,6.14,0.55,0.14,0.27,0.27,0.55,22.0,Attaquants,Attaquants,Jeune (< 23 ans)
Ernest Nuamah,RW,Lyon,0.15,0.2,2.17,0.1,0.19,0.39,3.6,36.16,78.1,3.69,5.47,2.36,5.42,11.82,1.38,0.44,0.74,0.49,0.44,20.0,Ailiers,Attaquants,Jeune (< 23 ans)
Rayan Cherki,AM,Lyon,0.28,0.27,2.31,0.68,0.48,0.75,7.26,61.48,78.6,9.75,4.45,3.17,6.19,7.9,0.75,0.36,0.39,0.32,0.21,21.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Sael Kumbedi,RB,Lyon,0.0,0.02,0.36,0.0,0.12,0.12,1.78,61.66,81.5,4.81,2.5,0.89,1.78,8.2,2.67,1.6,1.07,2.14,0.36,19.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Tim Breithaupt,DM,Augsburg,0.0,0.02,0.33,0.17,0.08,0.08,1.82,44.25,85.0,4.81,0.17,0.5,0.17,0.33,2.98,1.49,2.15,0.99,1.66,22.0,Milieux Défensifs,Milieux,Jeune (< 23 ans)
Arne Engels,CM,Augsburg,0.21,0.18,1.86,0.28,0.14,0.32,2.34,36.12,69.9,3.65,1.51,0.28,1.58,4.4,2.2,0.76,1.45,1.31,0.62,21.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Chrislain Matsima,CB,Augsburg,0.06,0.01,0.39,0.06,0.01,0.02,0.77,54.99,88.2,4.71,1.16,0.13,0.39,0.32,1.61,1.1,1.22,5.22,2.06,22.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Yusuf Kabadayı,LW,Augsburg,0.29,0.22,2.44,0.0,0.04,0.26,2.53,22.99,62.7,1.56,2.63,1.95,3.41,5.55,1.56,0.39,1.36,1.36,1.17,20.0,Ailiers,Attaquants,Jeune (< 23 ans)
Luis Guilherme,RW,West Ham,0.16,0.2,2.63,0.16,0.2,0.39,5.76,37.51,81.6,3.78,5.1,2.47,3.13,8.56,0.82,0.49,0.33,0.33,0.82,18.0,Ailiers,Attaquants,Jeune (< 23 ans)
Illia Zabarnyi,CB,Bournemouth,0.03,0.03,0.22,0.0,0.01,0.04,0.78,49.03,82.1,3.14,0.53,0.06,0.44,0.06,1.58,0.89,1.36,4.08,2.06,22.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Milos Kerkez,LB,Bournemouth,0.0,0.06,0.91,0.05,0.04,0.1,2.01,38.76,73.0,2.93,2.3,0.34,1.44,4.17,1.63,0.91,1.39,2.54,0.58,20.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Dango Ouattara,LW,Bournemouth,0.14,0.25,2.06,0.21,0.16,0.42,3.22,41.95,64.9,2.67,3.98,1.51,5.21,7.4,3.29,1.58,1.44,2.67,2.67,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Dean Huijsen,CB,Bournemouth,0.25,0.06,0.88,0.0,0.01,0.08,1.51,76.68,87.0,3.52,0.5,0.13,1.13,2.01,1.51,0.88,1.13,4.27,2.51,19.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Alex Scott,CM,Bournemouth,0.07,0.07,1.33,0.07,0.13,0.2,3.78,42.37,78.1,5.63,2.0,0.96,2.37,3.33,2.96,1.19,1.48,1.63,1.11,21.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
James Hill,CB,Bournemouth,0.08,0.06,0.81,0.24,0.13,0.19,1.37,64.62,76.8,4.67,1.69,0.08,1.21,1.93,2.34,2.18,1.29,4.67,3.95,22.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Máximo Perrone,DM,Como,0.0,0.01,0.23,0.05,0.04,0.05,1.65,69.32,90.2,3.94,0.55,0.28,0.46,1.15,2.06,1.28,1.38,1.51,0.41,21.0,Milieux Défensifs,Milieux,Jeune (< 23 ans)
Nicolás Paz,AM,Como,0.19,0.24,4.11,0.37,0.37,0.62,5.41,45.56,80.3,6.35,4.67,3.17,3.36,5.79,1.87,0.93,2.8,0.56,1.31,20.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Alieu Fadera,LW,Como,0.18,0.19,1.96,0.18,0.37,0.56,5.07,40.2,73.2,1.51,3.74,1.16,6.23,10.94,2.76,0.53,1.33,0.18,0.89,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Ignace Van Der Brempt,RB,Como,0.0,0.02,0.65,0.19,0.19,0.21,2.33,59.41,75.4,5.6,3.73,1.96,2.05,4.66,3.92,1.12,1.87,3.36,1.68,22.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Matthias Braunöder,CM,Como,0.1,0.04,1.13,0.0,0.03,0.07,2.27,48.56,82.0,5.15,1.44,0.21,0.82,1.65,2.47,1.24,1.65,0.72,1.55,22.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Lucien Agoume,DM,Sevilla,0.0,0.06,0.55,0.0,0.05,0.12,2.47,48.39,82.7,4.39,1.03,1.03,1.17,1.3,2.4,0.96,1.23,1.1,1.3,22.0,Milieux Défensifs,Milieux,Jeune (< 23 ans)
Peque,SS,Sevilla,0.34,0.31,1.99,0.11,0.15,0.46,3.93,33.62,77.5,5.08,1.57,2.33,4.32,5.62,1.83,0.34,1.11,0.46,1.15,22.0,Attaquants,Attaquants,Jeune (< 23 ans)
Tanguy Nianzou,CB,Sevilla,0.0,0.02,0.46,0.0,0.0,0.02,0.46,49.91,89.4,2.89,0.69,0.58,0.81,0.12,2.2,1.39,0.35,3.93,2.43,22.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Juanlu Sánchez,RB,Sevilla,0.06,0.08,0.57,0.06,0.06,0.14,2.27,50.01,79.2,3.28,2.46,1.32,1.45,7.68,3.53,1.13,1.26,1.89,0.94,21.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Kike Salas,CB,Sevilla,0.1,0.04,0.8,0.0,0.03,0.07,0.85,58.76,78.9,3.31,0.65,0.05,1.65,0.95,2.21,1.45,1.45,4.81,3.91,22.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Alejandro Francés,CB,Girona,0.07,0.04,0.77,0.04,0.01,0.05,1.23,57.93,79.2,5.47,1.12,0.39,0.95,0.53,1.68,1.65,0.67,4.07,2.07,22.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Arnau Martinez,RB,Girona,0.0,0.01,0.06,0.13,0.06,0.08,1.46,71.46,89.4,6.39,1.77,0.25,0.76,2.41,1.96,0.51,0.76,2.78,0.7,21.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Yaser Asprilla,RW,Girona,0.24,0.19,2.56,0.24,0.18,0.37,4.65,36.88,73.9,5.0,2.48,1.85,3.23,6.86,1.42,0.67,0.87,0.16,0.2,20.0,Ailiers,Attaquants,Jeune (< 23 ans)
Jhon Solis,CM,Girona,0.0,0.15,1.41,0.0,0.04,0.19,2.57,50.91,87.6,5.14,1.16,1.29,0.77,2.7,2.06,1.41,2.44,1.67,1.03,20.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Omar El Hilali,RB,Espanyol,0.0,0.0,0.0,0.0,0.0,0.0,0.56,44.78,78.3,2.9,1.56,0.78,0.0,1.12,2.79,1.01,1.34,4.47,1.45,21.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Alejo Véliz,CF,Espanyol,0.28,0.28,2.07,0.0,0.07,0.34,0.83,14.47,68.6,0.83,0.14,0.28,2.62,2.48,0.41,0.14,1.24,1.93,3.86,21.0,Attaquants,Attaquants,Jeune (< 23 ans)
Adrien Truffert,LB,Rennes,0.03,0.03,0.98,0.03,0.07,0.11,2.06,51.19,77.1,4.11,2.27,0.91,2.02,7.6,1.78,0.7,1.22,1.85,0.66,22.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Arnaud Kalimuendo,CF,Rennes,0.33,0.28,2.5,0.04,0.1,0.38,2.5,19.29,80.3,1.56,1.2,0.58,4.53,7.58,0.29,0.11,0.54,0.18,0.51,22.0,Attaquants,Attaquants,Jeune (< 23 ans)
Carlos Gómez,RW,Rennes,0.63,0.41,3.44,0.34,0.4,0.81,4.17,29.74,66.6,2.33,4.12,2.52,5.91,11.63,1.94,0.34,1.16,0.53,0.19,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Jordan James,CM,Rennes,0.3,0.14,1.48,0.0,0.05,0.2,2.21,31.94,75.7,3.86,1.78,0.89,1.48,2.04,1.91,1.19,1.48,1.15,0.68,20.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Javi López,LB,Real Sociedad,0.03,0.03,0.66,0.07,0.08,0.11,1.75,43.3,71.8,3.49,2.04,1.32,1.45,4.15,1.09,0.33,0.86,2.9,0.89,22.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Jon Aramburu,RB,Real Sociedad,0.0,0.04,0.8,0.0,0.04,0.07,1.24,56.51,78.3,4.44,1.42,0.27,0.8,3.64,4.35,0.71,1.69,3.82,1.6,22.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Beñat Turrientes,CM,Real Sociedad,0.0,0.07,1.37,0.04,0.02,0.1,1.72,41.25,84.7,3.3,1.63,1.16,1.16,2.53,1.76,0.34,1.29,0.81,1.07,22.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Luka Sučić,CM,Real Sociedad,0.23,0.1,1.97,0.0,0.12,0.22,3.24,43.96,78.9,5.32,1.39,1.16,1.5,2.66,1.5,0.58,1.62,0.81,0.69,22.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Ander Barrenetxea,LW,Real Sociedad,0.16,0.14,2.12,0.11,0.14,0.28,2.93,37.29,68.0,3.31,4.02,2.5,5.43,11.56,2.39,0.33,1.09,0.71,1.09,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Luca Netz,LB,Gladbach,0.0,0.03,0.57,0.15,0.12,0.15,2.66,51.91,79.3,3.23,1.52,0.8,1.44,4.17,1.82,0.99,1.4,2.92,1.37,21.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Joe Scally,RB,Gladbach,0.0,0.02,0.38,0.15,0.06,0.08,1.23,56.76,82.6,2.8,1.73,0.65,0.96,2.99,1.54,0.69,1.07,2.76,0.84,21.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Rocco Reitz,CM,Gladbach,0.28,0.18,1.57,0.09,0.06,0.24,3.0,49.17,77.0,4.93,1.43,0.92,2.12,2.53,2.9,2.3,2.58,1.11,0.6,22.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Kamory Doumbia,AM,Brest,0.51,0.43,2.36,0.42,0.08,0.51,2.87,48.46,85.4,4.55,1.94,1.26,3.2,4.3,2.87,1.01,1.18,0.67,0.93,21.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Abdoulaye Niakhate Ndiaye,CB,Brest,0.0,0.02,0.36,0.09,0.01,0.03,0.27,60.27,83.9,3.23,0.41,0.64,0.5,0.0,1.77,1.32,2.14,5.68,2.23,22.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Soumaïla Coulibaly,CB,Brest,0.0,0.01,0.26,0.0,0.0,0.01,0.79,54.19,89.8,1.98,0.53,0.13,0.26,0.0,0.79,1.45,1.06,4.36,1.19,21.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Arouna Sangante,CB,Le Havre,0.03,0.04,0.61,0.0,0.04,0.08,1.28,51.43,81.3,3.95,0.84,0.44,1.22,0.95,1.82,2.3,1.15,3.17,1.82,22.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Yassine Kechta,CM,Le Havre,0.09,0.08,1.09,0.05,0.1,0.18,2.73,42.66,80.4,5.55,1.77,0.45,1.14,3.87,1.96,0.86,0.96,0.77,0.36,22.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Oussama Targhalline,CM,Le Havre,0.0,0.02,0.5,0.0,0.04,0.06,2.14,56.36,84.3,5.93,1.86,0.5,0.71,1.5,1.93,1.79,0.86,1.07,0.79,22.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Etienne Youte Kinkoue,CB,Le Havre,0.0,0.02,0.33,0.0,0.0,0.03,0.5,42.76,86.1,1.45,0.58,0.04,0.58,0.17,0.71,1.95,1.04,4.48,1.25,22.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Rassoul Ndiaye,CM,Le Havre,0.16,0.18,1.78,0.0,0.08,0.26,1.62,40.95,76.3,2.91,0.65,0.65,1.46,2.27,3.72,0.65,0.81,0.0,0.65,22.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Antoine Joujou,LW,Le Havre,0.0,0.13,2.24,0.0,0.05,0.18,3.13,26.33,66.0,1.97,4.3,2.78,4.48,9.22,2.15,0.9,1.7,0.63,0.81,21.0,Ailiers,Attaquants,Jeune (< 23 ans)
Mathis Amougou,CM,Saint-Étienne,0.0,0.03,0.67,0.0,0.02,0.05,1.84,27.82,79.5,4.36,0.67,0.84,0.34,0.67,1.34,1.68,0.67,0.34,0.17,18.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Pierre Ekwah Elimby,DM,Saint-Étienne,0.1,0.08,1.88,0.07,0.04,0.11,2.02,54.79,84.6,6.4,0.7,0.66,0.56,1.08,1.67,0.97,1.36,1.11,0.66,22.0,Milieux Défensifs,Milieux,Jeune (< 23 ans)
Lucas Stassin,CF,Saint-Étienne,0.52,0.37,2.71,0.39,0.39,0.76,3.36,21.05,69.9,1.68,1.42,1.03,4.13,5.94,1.03,0.39,0.0,0.39,1.42,19.0,Attaquants,Attaquants,Jeune (< 23 ans)
Louis Mouton,DM,Saint-Étienne,0.0,0.05,1.21,0.08,0.13,0.18,3.31,52.39,77.3,5.73,1.86,0.89,0.65,3.15,3.71,1.05,1.29,1.53,0.97,22.0,Milieux Défensifs,Milieux,Jeune (< 23 ans)
Benjamin Bouchouari,CM,Saint-Étienne,0.0,0.08,1.59,0.0,0.05,0.13,3.51,58.22,86.4,7.28,2.93,1.67,1.76,4.43,2.59,0.42,0.59,0.08,0.5,22.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Bertuğ Yıldırım,CF,Getafe,0.1,0.21,1.43,0.1,0.14,0.36,2.04,15.73,65.6,2.15,1.23,0.51,3.88,3.98,1.23,0.1,1.63,1.02,3.88,22.0,Attaquants,Attaquants,Jeune (< 23 ans)
Jesús Santiago,CM,Getafe,0.11,0.07,0.66,0.0,0.04,0.11,1.53,25.92,75.1,2.19,0.66,0.33,1.2,1.64,2.41,0.0,0.55,1.09,0.66,20.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Peter Federico,RW,Getafe,0.0,0.22,2.17,0.0,0.11,0.33,1.94,22.19,66.0,1.94,2.29,1.49,3.66,6.18,0.8,0.8,1.49,1.26,1.49,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Victor Bernth Kristiansen,LB,Leicester City,0.0,0.01,0.14,0.07,0.06,0.06,1.55,64.2,83.2,4.45,1.06,0.42,0.21,2.72,2.4,0.71,1.48,2.12,0.85,21.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Facundo Buonanotte,AM,Leicester City,0.24,0.15,1.42,0.14,0.14,0.29,2.6,31.85,83.8,3.31,1.8,1.18,2.56,4.54,2.65,0.43,1.61,0.52,0.47,19.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Abdul Fatawu Issahaku,RW,Leicester City,0.22,0.17,2.43,0.44,0.37,0.54,4.28,37.51,73.4,3.61,4.61,2.91,5.5,12.8,2.03,0.63,1.29,1.25,1.66,20.0,Ailiers,Attaquants,Jeune (< 23 ans)
Bilal El Khannouss,AM,Leicester City,0.05,0.08,1.57,0.34,0.39,0.47,6.32,63.04,73.1,8.97,1.81,1.32,1.67,6.37,2.16,0.29,0.88,0.64,1.23,20.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Kasey McAteer,RW,Leicester City,0.24,0.35,2.69,0.0,0.1,0.45,1.59,32.48,80.8,2.08,2.81,0.85,3.91,8.55,1.95,0.61,0.49,1.34,1.71,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Thomas Cannon,CF,Leicester City,0.55,0.28,2.75,0.11,0.03,0.31,1.32,16.74,69.1,0.33,0.99,0.22,3.86,5.51,0.55,0.22,0.66,0.55,1.98,21.0,Attaquants,Attaquants,Jeune (< 23 ans)
