player_name,Position,Team Name,Buts (sans les pénaltys),npxG: xG sans les pénaltys,Total des tirs,Passes décisives,xAG: Prévu(s) Buts assistés,npxG + xAG,Actions menant à un tir,Passes tentées,% de passes réussies,Passes progressives,Possessions progressives,Dribbles réussis,Touches (SurfRépOff),Passes progressives reçues,Tacles,Interceptions,Balles contrées,Dégagements,Duel aérien gagnés,Age,Categorie_Clustering,Categorie_Large,Categorie_Age
Nico Williams,LW,Athletic Club,0.22,0.25,2.36,0.37,0.22,0.47,4.95,33.08,69.3,2.74,5.66,3.33,6.03,11.88,1.27,0.19,0.45,0.22,0.37,22.0,Ailiers,Attaquants,Jeune (< 23 ans)
Mikel Jauregizar,CM,Athletic Club,0.15,0.04,1.18,0.0,0.06,0.1,3.1,44.7,80.5,3.98,0.59,0.89,0.3,0.89,3.39,0.74,1.33,0.89,0.89,20.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Unai Gómez,AM,Athletic Club,0.08,0.11,1.56,0.08,0.06,0.17,2.34,26.59,75.1,2.34,1.72,1.33,2.34,4.52,0.86,0.23,1.01,0.86,1.48,21.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Nicolás Serrano,LW,Athletic Club,0.33,0.16,3.09,0.25,0.19,0.35,4.68,38.65,67.0,3.09,5.34,2.59,2.92,10.1,1.09,0.5,1.25,0.33,0.0,21.0,Ailiers,Attaquants,Jeune (< 23 ans)
Lewis Hall,LB,Newcastle Utd,0.07,0.02,0.8,0.0,0.06,0.08,2.39,65.64,80.8,5.57,2.31,0.87,1.3,2.96,2.46,1.23,2.17,2.89,1.01,20.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Valentino Livramento,RB,Newcastle Utd,0.05,0.02,0.24,0.0,0.05,0.07,1.94,51.21,84.6,3.73,2.55,1.04,1.42,4.58,1.89,1.37,1.51,3.11,0.99,21.0,Latéraux,Défenseurs,Jeune (< 23 ans)
William Osula,CF,Newcastle Utd,0.0,0.22,2.89,0.0,0.02,0.22,1.76,10.59,54.5,0.32,0.96,0.64,3.53,5.45,0.32,0.32,0.16,1.28,3.05,21.0,Attaquants,Attaquants,Jeune (< 23 ans)
Destiny Udogie,LB,Tottenham,0.07,0.1,0.44,0.04,0.06,0.16,2.02,55.21,86.1,5.74,2.98,0.85,2.76,5.19,2.61,1.29,1.18,2.58,0.85,21.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Pape Matar Sarr,CM,Tottenham,0.18,0.13,1.4,0.14,0.11,0.24,2.08,58.33,86.5,5.84,1.72,0.72,1.76,4.34,1.67,1.45,0.95,1.04,1.13,22.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Wilson Odobert,RW,Tottenham,0.12,0.12,2.17,0.08,0.13,0.26,3.14,26.12,76.3,2.74,4.51,2.17,4.39,5.51,0.89,0.24,1.09,0.56,0.44,19.0,Ailiers,Attaquants,Jeune (< 23 ans)
Radu Drăgușin,CB,Tottenham,0.11,0.06,0.95,0.0,0.01,0.07,0.56,52.91,84.6,2.06,0.56,0.06,1.62,0.78,0.95,1.23,1.0,3.56,3.34,22.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Archie Gray,CM,Tottenham,0.0,0.01,0.25,0.06,0.03,0.04,1.51,51.39,83.4,4.44,1.98,1.13,0.82,2.86,2.58,0.69,0.91,1.01,0.54,18.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Alfie Devine,AM,Tottenham,0.0,0.11,1.62,0.15,0.08,0.19,2.78,32.45,74.3,4.64,2.32,0.85,1.55,3.63,1.39,0.93,0.77,0.93,0.39,20.0,Milieux Offensifs,Milieux,Jeune (< 23 ans)
Andy Diouf,CM,Lens,0.12,0.1,1.63,0.0,0.1,0.2,3.55,47.92,78.1,4.52,4.03,2.05,1.69,2.95,1.75,0.36,1.14,0.6,0.78,21.0,Milieux Centraux,Milieux,Jeune (< 23 ans)
Abdukodir Khusanov,CB,Lens,0.0,0.01,0.33,0.0,0.01,0.02,0.6,44.97,86.1,1.86,0.13,0.0,0.33,0.13,2.12,2.06,1.79,4.58,1.59,20.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Jhoanner Chávez,LB,Lens,0.09,0.06,0.73,0.0,0.11,0.17,1.83,42.02,75.8,1.83,1.1,0.09,1.56,4.13,0.92,1.01,0.92,1.65,1.19,22.0,Latéraux,Défenseurs,Jeune (< 23 ans)
Rémy Labeau Lascary,CF,Lens,0.16,0.24,2.0,0.22,0.12,0.36,2.97,21.12,75.2,1.08,2.97,2.76,4.16,7.94,2.27,0.65,1.13,0.43,0.86,21.0,Attaquants,Attaquants,Jeune (< 23 ans)
Mattia Viti,CB,Empoli,0.06,0.08,0.57,0.0,0.0,0.09,0.69,42.42,82.6,2.96,0.38,0.25,0.95,0.95,3.09,1.01,1.7,3.91,1.64,22.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
Lorenzo Colombo,CF,Empoli,0.25,0.24,2.25,0.06,0.04,0.29,1.56,16.86,66.3,1.31,1.25,1.06,3.68,5.37,1.0,0.0,1.25,0.69,1.5,22.0,Attaquants,Attaquants,Jeune (< 23 ans)
Sebastiano Esposito,SS,Empoli,0.4,0.2,2.58,0.0,0.04,0.24,2.19,27.62,61.9,2.78,2.19,1.79,3.58,2.38,2.78,0.99,0.79,0.4,0.99,22.0,Attaquants,Attaquants,Jeune (< 23 ans)
Saba Goglichidze,CB,Empoli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,77.9,2.2,0.4,0.0,0.0,0.0,2.6,1.2,0.8,3.4,1.2,20.0,Défenseurs Centraux,Défenseurs,Jeune (< 23 ans)
